callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
ETH3640,,040062,ET-APU,B77L,EBBR,RKSI,2020-03-31 15:01:15+00:00,2020-04-01 02:46:54+00:00,2020-04-01 00:00:00+00:00,50.904406531382406,4.463691711425781,-304.8,37.31473761089777,126.57909890879759,937.26
QTR4NM,,06a147,A7-APF,A388,YPPH,OTHH,2020-03-31 15:01:23+00:00,2020-04-01 02:18:51+00:00,2020-04-01 00:00:00+00:00,-31.97149658203125,115.9559143066406,0.0,25.24960792670815,51.6293680442954,45.72
N117TJ,,a047e6,N117TJ,BE9T,,KCOS,2020-03-31 15:03:15+00:00,2020-04-01 00:06:29+00:00,2020-04-01 00:00:00+00:00,25.75446694584216,-80.6095396797612,1828.8,38.80771442995233,-104.71600341796879,1866.9
ETH501,ET501,040033,ET-ANR,B77L,KIAD,,2020-03-31 15:03:37+00:00,2020-04-01 00:34:23+00:00,2020-04-01 00:00:00+00:00,38.93401065115201,-77.45587158203125,0.0,34.047934322033896,24.33832168579102,11887.2
UAL2809,,a21679,N2333U,B77W,,KORD,2020-03-31 15:08:15+00:00,2020-04-01 02:59:58+00:00,2020-04-01 00:00:00+00:00,33.13815307617188,129.3400634765625,10058.4,41.946533203125,-87.90747902610089,236.22
VIR23J,,407131,G-VBOW,B789,EGLL,KLAX,2020-03-31 15:09:06+00:00,2020-04-01 01:53:24+00:00,2020-04-01 00:00:00+00:00,51.46485900878906,-0.4424224028716139,-304.8,33.952874652409946,-118.39427947998051,91.44
LOT8507,LO8507,48ae21,,,EPWA,KORD,2020-03-31 15:11:16+00:00,2020-04-01 01:01:52+00:00,2020-04-01 00:00:00+00:00,52.15663146972656,20.97511291503906,0.0,41.97246551513672,-87.91610891168767,167.64
AHO9191,,3c08c9,,,EDDB,WMKK,2020-03-31 15:11:23+00:00,2020-04-01 02:12:55+00:00,2020-04-01 00:00:00+00:00,52.36585235595703,13.49435806274414,-304.8,2.68414306640625,101.73763469114141,236.22
FIN141,,461f53,OH-LWL,A359,EFHK,VTBS,2020-03-31 15:14:55+00:00,2020-04-01 00:18:44+00:00,2020-04-01 00:00:00+00:00,60.32495013738082,24.9664306640625,0.0,13.75653076171875,100.7570832351158,342.9
ATG6654,,504e43,ER-BBJ,B744,EDDP,VHHH,2020-03-31 15:16:49+00:00,2020-04-01 01:43:51+00:00,2020-04-01 00:00:00+00:00,51.413967326536024,12.25318908691406,0.0,22.299965034096928,113.909657796224,-22.86
